event_year,event_season,respiratory_category,percent
2018,2017-2018,Broad Acute Respiratory,9.77
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.29
2018,2017-2018,RSV,0.07
2018,2017-2018,ILI,1.82
2018,2017-2018,Broad Acute Respiratory,9.47
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.21
2018,2017-2018,RSV,0.03
2018,2017-2018,ILI,1.74
2018,2017-2018,Broad Acute Respiratory,8.46
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.12
2018,2017-2018,RSV,0.04
2018,2017-2018,ILI,1.55
2018,2017-2018,Broad Acute Respiratory,8.45
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.05
2018,2017-2018,RSV,0.02
2018,2017-2018,ILI,1.61
2018,2017-2018,Broad Acute Respiratory,8.72
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.06
2018,2017-2018,RSV,0.05
2018,2017-2018,ILI,1.59
2018,2017-2018,Broad Acute Respiratory,8.26
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.02
2018,2017-2018,RSV,0.02
2018,2017-2018,ILI,1.30
2018,2017-2018,Broad Acute Respiratory,8.43
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.03
2018,2017-2018,RSV,0.02
2018,2017-2018,ILI,1.36
2018,2017-2018,Broad Acute Respiratory,8.01
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.04
2018,2017-2018,RSV,0.02
2018,2017-2018,ILI,1.32
2018,2017-2018,Broad Acute Respiratory,7.83
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.02
2018,2017-2018,RSV,0.03
2018,2017-2018,ILI,1.11
2018,2017-2018,Broad Acute Respiratory,7.32
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.02
2018,2017-2018,RSV,0.01
2018,2017-2018,ILI,1.03
2018,2017-2018,Broad Acute Respiratory,6.51
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.02
2018,2017-2018,RSV,0.01
2018,2017-2018,ILI,0.97
2018,2017-2018,Broad Acute Respiratory,6.57
2018,2017-2018,COVID-19,0.00
2018,2017-2018,Influenza,0.02
