season,respiratory_category,visit_type,demographic_group,avg_percent,max_percent,min_percent
2020-2021,RSV,ED Visits,Other Race/Ethnicity,0.090192,0.78,0.00
2020-2021,ILI,Admissions,White Non-Hispanic,0.306154,1.13,0.00
2024-2025,Broad Acute Respiratory,ED Visits,Hispanic or Latino,13.182308,25.22,6.75
2016-2017,Broad Acute Respiratory,ED Visits,Hispanic or Latino,11.086731,19.29,4.69
2018-2019,COVID-19,ED Visits,Asian Non-Hispanic,0.000000,0.00,0.00
2017-2018,ILI,ED Visits,Hispanic or Latino,3.597500,11.23,0.87
2019-2020,Broad Acute Respiratory,Admissions,White Non-Hispanic,14.885385,24.32,8.80
2022-2023,ILI,ED Visits,White Non-Hispanic,1.096538,3.42,0.32
2018-2019,RSV,ED Visits,Black Non-Hispanic,0.066346,0.30,0.00
2025-2026,RSV,Admissions,Unknown Race/Ethnicity,0.227143,1.60,0.00
2020-2021,Influenza,ED Visits,White Non-Hispanic,0.027308,0.11,0.00
2025-2026,ILI,ED Visits,Asian Non-Hispanic,1.760476,5.48,0.17
